               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,             0.02046,            0.015253,           0.0016961,             0.68565,             0.70209,             0.71531,             0.49757,            0.030893,            0.015194,            0.014665,             0.00802,             0.00802,             0.00802
                 122,            0.020399,            0.014811,            0.001447,             0.73672,              0.6533,             0.69329,             0.48533,            0.031206,            0.015561,            0.014501,           0.0080035,           0.0080035,           0.0080035
                 123,            0.020357,              0.0147,           0.0017095,             0.65329,             0.63701,             0.67253,             0.46837,            0.030756,            0.015628,             0.01159,            0.007987,            0.007987,            0.007987
                 124,            0.019843,            0.015402,           0.0015373,             0.64949,             0.75564,             0.68345,             0.47947,            0.032002,            0.015596,            0.012066,           0.0079705,           0.0079705,           0.0079705
                 125,            0.020238,            0.014968,           0.0015214,             0.70112,             0.72897,             0.72837,             0.48185,            0.032839,            0.016122,            0.014248,            0.007954,            0.007954,            0.007954
                 126,            0.020181,            0.015169,           0.0017971,             0.70735,             0.69117,             0.72391,             0.48679,            0.032426,            0.016386,            0.012051,           0.0079375,           0.0079375,           0.0079375
                 127,            0.019136,            0.014275,           0.0014984,             0.68063,             0.72991,             0.69278,              0.4677,             0.03257,            0.016166,            0.014067,            0.007921,            0.007921,            0.007921
                 128,            0.020548,            0.015074,           0.0016415,             0.76752,             0.62202,             0.68582,             0.46094,            0.032136,            0.016424,            0.013937,           0.0079045,           0.0079045,           0.0079045
                 129,            0.019874,            0.015358,           0.0014635,             0.70377,             0.64207,             0.67452,             0.46054,            0.033223,            0.016151,            0.012153,            0.007888,            0.007888,            0.007888
                 130,             0.01968,            0.014702,           0.0014106,             0.64098,             0.67703,              0.6857,             0.48279,             0.03278,            0.015431,            0.011162,           0.0078715,           0.0078715,           0.0078715
                 131,            0.020245,            0.014488,           0.0014677,             0.82395,             0.60098,             0.69505,             0.47475,            0.031934,            0.016571,            0.012962,            0.007855,            0.007855,            0.007855
                 132,            0.019615,            0.014958,           0.0015992,             0.72196,             0.63841,             0.68418,              0.4757,            0.031933,            0.016054,            0.014324,           0.0078385,           0.0078385,           0.0078385
                 133,            0.020159,            0.014839,           0.0015202,              0.7147,             0.69027,             0.68713,             0.50055,            0.031094,            0.016029,            0.012806,            0.007822,            0.007822,            0.007822
                 134,            0.019552,            0.014789,           0.0014496,             0.82553,             0.58475,             0.67102,             0.50708,            0.031332,            0.016199,            0.011195,           0.0078055,           0.0078055,           0.0078055
                 135,            0.019725,            0.014744,            0.001401,             0.69142,             0.63634,             0.65155,             0.47214,            0.031502,            0.017207,            0.012838,            0.007789,            0.007789,            0.007789
                 136,            0.019776,             0.01471,            0.001309,             0.74284,             0.64123,             0.70118,             0.48654,            0.031382,             0.01662,            0.013241,           0.0077725,           0.0077725,           0.0077725
                 137,            0.020262,             0.01449,           0.0014193,             0.76446,             0.68585,             0.72295,             0.49148,            0.031667,            0.015598,            0.014316,            0.007756,            0.007756,            0.007756
                 138,            0.019565,            0.014253,           0.0017215,             0.65062,             0.70063,             0.69094,             0.48442,            0.031078,            0.015694,             0.01491,           0.0077395,           0.0077395,           0.0077395
                 139,            0.019611,            0.014642,           0.0016478,             0.73048,             0.71345,              0.7183,             0.49034,            0.031582,            0.015816,            0.012863,            0.007723,            0.007723,            0.007723
                 140,            0.019947,            0.014666,           0.0014739,             0.67408,             0.67245,             0.69657,             0.47704,            0.031463,            0.016023,            0.012059,           0.0077065,           0.0077065,           0.0077065
                 141,             0.01952,            0.014599,           0.0014012,              0.7497,             0.67197,             0.70599,             0.47894,            0.032281,            0.016091,            0.014858,             0.00769,             0.00769,             0.00769
